Tray,Date,FlyIDLowerBound,FlyIDUpperBound,Strain,Sex,Age (time since collected),FilePath,Use Data,Notes,BatchID,UniqueTrayID
1,2021-02-13,1,15,535,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,,,0,1
1,2021-02-13,16,32,535,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,,,0,1
1,2021-02-13,33,34,535,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,,,0,1
1,2021-02-13,35,49,45,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,,,0,1
1,2021-02-13,50,59,45,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,,,0,1
1,2021-02-13,60,76,105,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,,,0,1
1,2021-02-13,77,95,105,F,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,,,0,1
1,2021-02-13,96,96,105,M,1,02-13-2021-18-10-58__Y-Maze_RAI_535_1-96_Day1,,,0,1
1,2021-02-14,1,15,535,F,2,02-14-2021-13-41-51__Y-Maze_535_1-86_Day1,,,0,1
1,2021-02-14,16,32,535,M,2,02-14-2021-13-41-51__Y-Maze_535_1-86_Day1,,,0,1
1,2021-02-14,33,34,535,F,2,02-14-2021-13-41-51__Y-Maze_535_1-86_Day1,,,0,1
1,2021-02-14,35,49,45,M,2,02-14-2021-13-41-51__Y-Maze_535_1-86_Day1,,,0,1
1,2021-02-14,50,59,45,F,2,02-14-2021-13-41-51__Y-Maze_535_1-86_Day1,,,0,1
1,2021-02-14,60,66,105,M,2,02-14-2021-13-41-51__Y-Maze_535_1-86_Day1,,,0,1
1,2021-02-14,67,68,105,M,2,02-14-2021-13-41-51__Y-Maze_535_1-86_Day1,F,Ran 68 as 67,0,1
1,2021-02-14,69,76,105,M,2,02-14-2021-13-41-51__Y-Maze_535_1-86_Day1,,,0,1
1,2021-02-14,77,95,105,F,2,02-14-2021-13-41-51__Y-Maze_535_1-86_Day1,,,0,1
1,2021-02-14,96,96,105,M,2,02-14-2021-13-41-51__Y-Maze_535_1-86_Day1,,,0,1
1,2021-02-21,1,15,535,F,9,02-21-2021-15-33-48__Y-Maze_535_1-96_Day1,,,0,1
1,2021-02-21,16,32,535,M,9,02-21-2021-15-33-48__Y-Maze_535_1-96_Day1,,,0,1
1,2021-02-21,33,34,535,F,9,02-21-2021-15-33-48__Y-Maze_535_1-96_Day1,,,0,1
1,2021-02-21,35,49,45,M,9,02-21-2021-15-33-48__Y-Maze_535_1-96_Day1,,,0,1
1,2021-02-21,50,59,45,F,9,02-21-2021-15-33-48__Y-Maze_535_1-96_Day1,,,0,1
1,2021-02-21,60,76,105,M,9,02-21-2021-15-33-48__Y-Maze_535_1-96_Day1,,,0,1
1,2021-02-21,77,95,105,F,9,02-21-2021-15-33-48__Y-Maze_535_1-96_Day1,,,0,1
1,2021-02-21,96,96,105,M,9,02-21-2021-15-33-48__Y-Maze_535_1-96_Day1,,,0,1
1,2021-02-27,1,15,535,F,15,02-27-2021-12-46-23__Y-Maze_535_15d_1-96_Day1,,,0,1
1,2021-02-27,16,32,535,M,15,02-27-2021-12-46-23__Y-Maze_535_15d_1-96_Day1,,,0,1
1,2021-02-27,33,34,535,F,15,02-27-2021-12-46-23__Y-Maze_535_15d_1-96_Day1,,,0,1
1,2021-02-27,35,49,45,M,15,02-27-2021-12-46-23__Y-Maze_535_15d_1-96_Day1,,,0,1
1,2021-02-27,50,59,45,F,15,02-27-2021-12-46-23__Y-Maze_535_15d_1-96_Day1,,,0,1
1,2021-02-27,60,76,105,M,15,02-27-2021-12-46-23__Y-Maze_535_15d_1-96_Day1,,,0,1
1,2021-02-27,77,95,105,F,15,02-27-2021-12-46-23__Y-Maze_535_15d_1-96_Day1,,,0,1
1,2021-02-27,96,96,105,M,15,02-27-2021-12-46-23__Y-Maze_535_15d_1-96_Day1,,,0,1
2,2021-02-27,1,24,105,F,1,02-27-2021-15-59-08__Y-Maze_105_F_d1_1-96_Day1,,,0,2
2,2021-02-27,25,36,45,F,1,02-27-2021-15-59-08__Y-Maze_105_F_d1_1-96_Day1,,,0,2
2,2021-02-27,37,48,45,M,1,02-27-2021-15-59-08__Y-Maze_105_F_d1_1-96_Day1,,,0,2
2,2021-02-27,49,72,535,F,1,02-27-2021-15-59-08__Y-Maze_105_F_d1_1-96_Day1,,,0,2
2,2021-02-27,73,96,796,F,1,02-27-2021-15-59-08__Y-Maze_105_F_d1_1-96_Day1,,,0,2
3,2021-02-27,1,24,105,F,1,02-27-2021-16-24-42__Y-Maze_105_F_d1_1-96_Day1,,,0,3
3,2021-02-27,25,48,45,M,1,02-27-2021-16-24-42__Y-Maze_105_F_d1_1-96_Day1,,,0,3
3,2021-02-27,49,69,535,F,1,02-27-2021-16-24-42__Y-Maze_105_F_d1_1-96_Day1,,,0,3
3,2021-02-27,70,72,535,M,1,02-27-2021-16-24-42__Y-Maze_105_F_d1_1-96_Day1,,,0,3
3,2021-02-27,73,96,796,F,1,02-27-2021-16-24-42__Y-Maze_105_F_d1_1-96_Day1,,,0,3
2,2021-02-28,1,24,105,F,2,02-28-2021-14-21-58__Y-Maze_45_F_d2_1-96_Day1,,,0,2
2,2021-02-28,25,36,45,F,2,02-28-2021-14-21-58__Y-Maze_45_F_d2_1-96_Day1,,,0,2
2,2021-02-28,37,48,45,M,2,02-28-2021-14-21-58__Y-Maze_45_F_d2_1-96_Day1,,,0,2
2,2021-02-28,49,72,535,F,2,02-28-2021-14-21-58__Y-Maze_45_F_d2_1-96_Day1,,,0,2
2,2021-02-28,73,73,796,F,2,02-28-2021-14-21-58__Y-Maze_45_F_d2_1-96_Day1,,,0,2
2,2021-02-28,74,91,796,F,2,02-28-2021-14-21-58__Y-Maze_45_F_d2_1-96_Day1,F,Off by one error somewhere. ,0,2
2,2021-02-28,92,96,796,F,2,02-28-2021-14-21-58__Y-Maze_45_F_d2_1-96_Day1,,,0,2
3,2021-02-28,1,24,105,F,2,02-28-2021-16-35-17__Y-Maze_105_F_d2_1-96_Day1,,,0,3
3,2021-02-28,25,48,45,M,2,02-28-2021-16-35-17__Y-Maze_105_F_d2_1-96_Day1,,,0,3
3,2021-02-28,49,69,535,F,2,02-28-2021-16-35-17__Y-Maze_105_F_d2_1-96_Day1,,,0,3
3,2021-02-28,70,72,535,M,2,02-28-2021-16-35-17__Y-Maze_105_F_d2_1-96_Day1,,,0,3
3,2021-02-28,73,96,796,F,2,02-28-2021-16-35-17__Y-Maze_105_F_d2_1-96_Day1,,,0,3
2,2021-03-14,1,24,105,F,16,03-14-2021-14-34-26__Y-Maze_105_F_1-96_Day16,,,0,2
2,2021-03-14,25,36,45,F,16,03-14-2021-14-34-26__Y-Maze_105_F_1-96_Day16,,,0,2
2,2021-03-14,37,48,45,M,16,03-14-2021-14-34-26__Y-Maze_105_F_1-96_Day16,,,0,2
2,2021-03-14,49,72,535,F,16,03-14-2021-14-34-26__Y-Maze_105_F_1-96_Day16,,,0,2
2,2021-03-14,73,73,796,F,16,03-14-2021-14-34-26__Y-Maze_105_F_1-96_Day16,,,0,2
2,2021-03-14,74,91,796,F,16,03-14-2021-14-34-26__Y-Maze_105_F_1-96_Day16,F,Off by one error somewhere. ,0,2
2,2021-03-14,92,96,796,F,16,03-14-2021-14-34-26__Y-Maze_105_F_1-96_Day16,,,0,2
3,2021-03-14,1,24,105,F,16,03-14-2021-15-10-49__Y-Maze_105_F_1-96_Day16,,,0,3
3,2021-03-14,25,48,45,M,16,03-14-2021-15-10-49__Y-Maze_105_F_1-96_Day16,,,0,3
3,2021-03-14,49,69,535,F,16,03-14-2021-15-10-49__Y-Maze_105_F_1-96_Day16,,,0,3
3,2021-03-14,70,72,535,M,16,03-14-2021-15-10-49__Y-Maze_105_F_1-96_Day16,,,0,3
3,2021-03-14,73,96,796,F,16,03-14-2021-15-10-49__Y-Maze_105_F_1-96_Day16,,,0,3
2,2021-04-03,1,12,105,F,2,04-03-2021-14-56-02__Y-Maze_105_B_1-96_Day2,,,1,5
2,2021-04-03,13,24,105,M,2,04-03-2021-14-56-02__Y-Maze_105_B_1-96_Day2,,,1,5
2,2021-04-03,25,36,45,F,2,04-03-2021-14-56-02__Y-Maze_105_B_1-96_Day2,,,1,5
2,2021-04-03,37,48,45,M,2,04-03-2021-14-56-02__Y-Maze_105_B_1-96_Day2,,,1,5
2,2021-04-03,49,60,535,F,2,04-03-2021-14-56-02__Y-Maze_105_B_1-96_Day2,,,1,5
2,2021-04-03,61,72,535,M,2,04-03-2021-14-56-02__Y-Maze_105_B_1-96_Day2,,,1,5
2,2021-04-03,73,84,796,F,2,04-03-2021-14-56-02__Y-Maze_105_B_1-96_Day2,,,1,5
2,2021-04-03,85,96,796,M,2,04-03-2021-14-56-02__Y-Maze_105_B_1-96_Day2,,,1,5
1,2021-04-04,1,12,105,F,3,04-04-2021-14-38-35__Y-Maze_105_B_1-96_Day3,,,2,7
1,2021-04-04,13,24,105,M,3,04-04-2021-14-38-35__Y-Maze_105_B_1-96_Day3,,,2,7
1,2021-04-04,25,36,45,F,3,04-04-2021-14-38-35__Y-Maze_105_B_1-96_Day3,,,2,7
1,2021-04-04,37,48,45,M,3,04-04-2021-14-38-35__Y-Maze_105_B_1-96_Day3,,,2,7
1,2021-04-04,49,60,535,F,3,04-04-2021-14-38-35__Y-Maze_105_B_1-96_Day3,,,2,7
1,2021-04-04,61,72,535,M,3,04-04-2021-14-38-35__Y-Maze_105_B_1-96_Day3,,,2,7
1,2021-04-04,73,84,796,F,3,04-04-2021-14-38-35__Y-Maze_105_B_1-96_Day3,,,2,7
1,2021-04-04,85,96,796,M,3,04-04-2021-14-38-35__Y-Maze_105_B_1-96_Day3,,,2,7
2,2021-04-04,1,12,105,F,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,,,2,8
2,2021-04-04,13,24,105,M,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,,,2,8
2,2021-04-04,25,36,45,F,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,,,2,8
2,2021-04-04,37,48,45,M,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,,,2,8
2,2021-04-04,49,60,535,F,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,,,2,8
2,2021-04-04,61,72,535,M,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,,,2,8
2,2021-04-04,73,84,796,F,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,,,2,8
2,2021-04-04,85,96,796,M,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,,,2,8
1,2021-04-10,1,12,105,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,,,2,7
1,2021-04-10,13,24,105,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,,,2,7
1,2021-04-10,25,36,45,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,,,2,7
1,2021-04-10,37,48,45,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,,,2,7
1,2021-04-10,49,60,535,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,,,2,7
1,2021-04-10,61,72,535,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,,,2,7
1,2021-04-10,73,84,796,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,,,2,7
1,2021-04-10,85,96,796,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,,,2,7
2,2021-04-10,1,12,105,F,9,04-10-2021-13-35-52__Y-Maze_105_B_1-96_Day9,,,2,8
2,2021-04-10,13,24,105,M,9,04-10-2021-13-35-52__Y-Maze_105_B_1-96_Day9,,,2,8
2,2021-04-10,25,36,45,F,9,04-10-2021-13-35-52__Y-Maze_105_B_1-96_Day9,,,2,8
2,2021-04-10,37,48,45,M,9,04-10-2021-13-35-52__Y-Maze_105_B_1-96_Day9,,,2,8
