,Batch #,Fly ID,Date,Day,Drug Treatment,nTurns,rBias
0,1,1,5/4,1,TrH,466,0.5268817204
1,1,2,5/4,1,TrH,500,0.44288577149999997
2,1,3,5/4,1,TrH,567,0.5565371025
3,1,4,5/4,1,TrH,526,0.5657142857
4,1,5,5/4,1,TrH,370,0.6964769648
5,1,6,5/4,1,TrH,601,0.3533333333
6,1,7,5/4,1,TrH,624,0.5569823435
7,1,8,5/4,1,TrH,598,0.338358459
8,1,9,5/4,1,TrH,750,0.6101468625
9,1,10,5/4,1,TrH,26,0.48
10,1,11,5/4,1,TrH,653,0.4478527607
11,1,12,5/4,1,TrH,652,0.3225806452
12,1,13,5/4,1,TrH,838,0.4946236559
13,1,14,5/4,1,TrH,776,0.4774193548
14,1,15,5/4,1,TrH,636,0.5338582677
15,1,16,5/4,1,TrH,849,0.4952830189
16,1,17,5/4,1,TrH,499,0.4859437751
17,1,18,5/4,1,TrH,423,0.3412322275
18,1,19,5/4,1,TrH,643,0.4875389408
19,1,20,5/4,1,TrH,553,0.6322463768
20,1,21,5/4,1,TrH,952,0.6382754995000001
21,1,22,5/4,1,TrH,45,0.5
22,1,23,5/4,1,TrH,546,0.5082568807
23,1,24,5/4,1,TrH,9,0.25
24,1,25,5/4,1,TrH,-1,
25,1,26,5/4,1,TrH,1090,0.1157024793
26,1,27,5/4,1,TrH,2150,0.42996742670000004
27,1,28,5/4,1,TrH,899,0.491091314
28,1,29,5/4,1,TrH,211,0.6285714286
29,1,30,5/4,1,TrH,450,0.13585746099999998
30,1,31,5/4,1,TrH,687,0.2361516035
31,1,32,5/4,1,TrH,798,0.5244667503
32,1,33,5/4,1,TrH,832,0.7533092659
33,1,34,5/4,1,TrH,280,0.4050179211
34,1,35,5/4,1,TrH,177,0.4375
35,1,36,5/4,1,TrH,313,0.2628205128
36,1,37,5/4,1,TrH,613,0.3611111111
37,1,38,5/4,1,TrH,262,0.6781609195
38,1,39,5/4,1,TrH,300,0.6086956522
39,1,40,5/4,1,TrH,428,0.40515222479999996
40,1,41,5/4,1,TrH,823,0.08880778588999999
41,1,42,5/4,1,TrH,243,0.6900826445999999
42,1,43,5/4,1,TrH,26,0.44
43,1,44,5/4,1,TrH,269,0.5
44,1,45,5/4,1,TrH,418,0.28776978420000004
45,1,46,5/4,1,TrH,262,0.6436781609000001
46,1,47,5/4,1,TrH,570,0.4692442882
47,1,48,5/4,1,TrH,515,0.5544747082
48,1,49,5/4,1,TrH,478,0.5618448637
49,1,50,5/4,1,TrH,354,0.5155807365
50,1,51,5/4,1,TrH,332,0.36253776439999996
51,1,52,5/4,1,TrH,362,0.5706371190999999
52,1,53,5/4,1,TrH,716,0.572027972
53,1,54,5/4,1,TrH,157,0.4935897436
54,1,55,5/4,1,TrH,494,0.3387423935
55,1,56,5/4,1,TrH,668,0.3523238381
56,1,57,5/4,1,TrH,367,0.4453551913
57,1,58,5/4,1,TrH,165,0.5304878049
58,1,59,5/4,1,TrH,537,0.6380597015
59,1,60,5/4,1,TrH,307,0.4901960784
60,1,61,5/4,1,TrH,288,0.5191637631
61,1,62,5/4,1,TrH,329,0.5243902439
62,1,63,5/4,1,TrH,676,0.38518518520000006
63,1,64,5/4,1,TrH,631,0.4301587302
64,1,65,5/4,1,TrH,237,0.6355932203
65,1,66,5/4,1,TrH,733,0.6297814208
66,1,67,5/4,1,TrH,617,0.5227272727000001
67,1,68,5/4,1,TrH,828,0.5646916566
68,1,69,5/4,1,TrH,370,0.3902439024
69,1,70,5/4,1,TrH,167,0.4638554217
70,1,71,5/4,1,TrH,1033,0.4379844961
71,1,72,5/4,1,TrH,671,0.552238806
72,1,73,5/4,1,TrH,546,0.32110091739999996
73,1,74,5/4,1,TrH,820,0.43711843710000003
74,1,75,5/4,1,TrH,154,0.5359477124
75,1,76,5/4,1,TrH,237,0.36440677969999996
76,1,77,5/4,1,TrH,367,0.6584699454
77,1,78,5/4,1,TrH,1,
78,1,79,5/4,1,TrH,54,0.6226415094
79,1,80,5/4,1,TrH,371,0.3378378378
80,1,81,5/4,1,TrH,229,0.5087719298
81,1,82,5/4,1,TrH,287,0.6188811189
82,1,83,5/4,1,TrH,388,0.519379845
83,1,84,5/4,1,TrH,152,0.3509933775
84,1,85,5/4,1,TrH,681,0.65
85,1,86,5/4,1,TrH,401,0.465
86,1,87,5/4,1,TrH,291,0.6344827586
87,1,88,5/4,1,TrH,468,0.4154175589
88,1,89,5/4,1,TrH,507,0.05928853755
89,1,90,5/4,1,TrH,400,0.3182957393
90,1,91,5/4,1,TrH,314,0.38977635780000003
91,1,92,5/4,1,TrH,-1,
92,1,93,5/4,1,TrH,1010,0.30723488600000004
93,1,94,5/4,1,TrH,62,0.5409836066
94,1,95,5/4,1,TrH,243,0.5123966942
95,1,96,5/4,1,TrH,490,0.4805725971
96,1,1,5/5,2,TrH,100,0.5151515152
97,1,2,5/5,2,TrH,397,0.3636363636
98,1,3,5/5,2,TrH,212,0.3127962085
99,1,4,5/5,2,TrH,270,0.4349442379
100,1,5,5/5,2,TrH,24,0.3913043478
101,1,6,5/5,2,TrH,339,0.44082840240000004
102,1,7,5/5,2,TrH,448,0.6398210290999999
103,1,8,5/5,2,TrH,58,0.7543859649
104,1,9,5/5,2,TrH,243,0.4669421488
105,1,10,5/5,2,TrH,120,0.4201680672
106,1,11,5/5,2,TrH,-1,
107,1,12,5/5,2,TrH,-1,
108,1,13,5/5,2,TrH,-1,
109,1,14,5/5,2,TrH,-1,
110,1,15,5/5,2,TrH,50,0.387755102
111,1,16,5/5,2,TrH,-1,
112,1,17,5/5,2,TrH,17,0.75
