,Day,rBias,Fly ID,Drug Treatment,Batch #,Date
0,1,0.5487804878,1,aMW,1,10/31
1,1,0.4136690647,2,aMW,1,10/31
2,1,0.4583333333,3,aMW,1,10/31
3,1,0.4474053296,4,aMW,1,10/31
4,1,0.3485148515,5,aMW,1,10/31
5,1,0.5997442454999999,6,aMW,1,10/31
6,1,0.5594936709,7,aMW,1,10/31
7,1,0.5862068965999999,8,aMW,1,10/31
8,1,0.3127272727,9,aMW,1,10/31
9,1,,10,aMW,1,10/31
10,1,0.5269461078000001,11,aMW,1,10/31
11,1,0.4862385321,12,aMW,1,10/31
12,1,0.3312101911,13,aMW,1,10/31
13,1,0.2559618442,14,aMW,1,10/31
14,1,0.36017410229999997,15,aMW,1,10/31
15,1,0.5925155925,16,aMW,1,10/31
16,1,0.28331332530000003,17,aMW,1,10/31
17,1,0.42253521130000005,18,aMW,1,10/31
18,1,0.2451612903,19,aMW,1,10/31
19,1,0.4619225968,20,aMW,1,10/31
20,1,0.6629834254,21,aMW,1,10/31
21,1,0.5847701149,22,aMW,1,10/31
22,1,0.6966824645,23,aMW,1,10/31
23,1,0.5530726257,24,aMW,1,10/31
24,1,0.3571428571,25,aMW,1,10/31
25,1,0.460960961,26,aMW,1,10/31
26,1,0.45136186770000003,27,aMW,1,10/31
27,1,0.6269315673,28,aMW,1,10/31
28,1,0.5,29,aMW,1,10/31
29,1,0.5267857143,30,aMW,1,10/31
30,1,0.44417475729999994,31,aMW,1,10/31
31,1,0.6317626527,32,aMW,1,10/31
32,1,0.4243759178,33,aMW,1,10/31
33,1,0.47435897439999997,34,aMW,1,10/31
34,1,0.5881578947,35,aMW,1,10/31
35,1,0.427027027,36,aMW,1,10/31
36,1,0.6345475911,37,aMW,1,10/31
37,1,0.41543026710000003,38,aMW,1,10/31
38,1,0.532780083,39,aMW,1,10/31
39,1,0.48324873100000004,40,aMW,1,10/31
40,1,0.6482035928000001,41,aMW,1,10/31
41,1,0.7255574614,42,aMW,1,10/31
42,1,0.5635451505,43,aMW,1,10/31
43,1,0.7904761905,44,aMW,1,10/31
44,1,0.56509299,45,aMW,1,10/31
45,1,0.30721003129999996,46,aMW,1,10/31
46,1,0.5657458564,47,aMW,1,10/31
47,1,0.44690966719999997,48,aMW,1,10/31
48,1,0.3320537428,49,aMW,1,10/31
49,1,0.5041322314,50,aMW,1,10/31
50,1,0.3342776204,51,aMW,1,10/31
51,1,0.43863912520000004,52,aMW,1,10/31
52,1,0.42536475869999996,53,aMW,1,10/31
53,1,0.6502145923,54,aMW,1,10/31
54,1,0.4673913043,55,aMW,1,10/31
55,1,0.4626865672,56,aMW,1,10/31
56,1,0.4440227704,57,aMW,1,10/31
57,1,0.6229508197,58,aMW,1,10/31
58,1,0.5672913118,59,aMW,1,10/31
59,1,0.575,60,aMW,1,10/31
60,1,0.5727699531,61,aMW,1,10/31
61,1,0.5812743823,62,aMW,1,10/31
62,1,0.5164585697999999,63,aMW,1,10/31
63,1,0.6030444965,64,aMW,1,10/31
64,1,0.44667274380000005,65,aMW,1,10/31
65,1,,66,aMW,1,10/31
66,1,0.4078947368,67,aMW,1,10/31
67,1,0.5051546392,68,aMW,1,10/31
68,1,0.22626582280000002,69,aMW,1,10/31
69,1,0.3027295285,70,aMW,1,10/31
70,1,0.3846153846,71,aMW,1,10/31
71,1,0.1965699208,72,aMW,1,10/31
72,1,0.5725806452000001,73,aMW,1,10/31
73,1,0.4458239278,74,aMW,1,10/31
74,1,0.5724137931000001,75,aMW,1,10/31
75,1,0.5434782609000001,76,aMW,1,10/31
76,1,0.5936454849,77,aMW,1,10/31
77,1,0.2648221344,78,aMW,1,10/31
