BatchNumber,TrayNumber,FlyID,LineNumber,Sex,n_Week1Day1,rBias_Week1Day1,n_Week1Day2,rBias_Week1Day2,n_Week1Day3,rBias_Week1Day3,n_Week2Day1,rBias_Week2Day1,n_Week2Day2,rBias_Week2Day2,n_Week2Day3,rBias_Week2Day3,n_Week3Day1,rBias_Week3Day1,n_Week3Day2,rBias_Week3Day2,n_Week3Day3,rBias_Week3Day3
2,1,1,105,0,176,0.417142857142857,390,0.365038560411311,186,0.502702702702703,487,0.360082304526749,638,0.34850863422292,547,0.282051282051282,182,0.50828729281768,573,0.480769230769231,287,0.611888111888112
2,1,2,105,0,228,0.422907488986784,1179,0.435483870967742,417,0.475961538461538,233,0.40948275862069,274,0.593406593406593,861,0.383720930232558,79,0.564102564102564,434,0.510392609699769,-1,NaN
2,1,3,105,0,977,0.714139344262295,710,0.242595204513399,519,0.658301158301158,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,1,4,105,0,283,0.340425531914894,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,1,5,105,0,332,0.3202416918429,921,0.523913043478261,179,0.623595505617977,556,0.513513513513513,208,0.584541062801932,626,0.496,454,0.445916114790287,15,0.428571428571429,44,0.558139534883721
2,1,6,105,0,545,0.433823529411765,904,0.400885935769657,17,0.0625,359,0.444134078212291,61,0.616666666666667,686,0.385401459854015,469,0.416666666666667,723,0.198060941828255,10,0.777777777777778
2,1,7,105,0,1225,0.581699346405229,996,0.544723618090452,31,0.566666666666667,139,0.311594202898551,21,0.15,482,0.251559251559252,317,0.281645569620253,332,0.525679758308157,289,0.340277777777778
2,1,8,105,0,735,0.460490463215259,993,0.560483870967742,280,0.577060931899642,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,1,9,105,0,825,0.497572815533981,1219,0.513136288998358,493,0.542682926829268,862,0.537746806039489,217,0.657407407407407,392,0.734015345268542,662,0.6732223903177,224,0.68609865470852,-1,NaN
2,1,10,105,0,786,0.574522292993631,1008,0.485600794438928,728,0.485557083906465,833,0.670673076923077,713,0.498595505617978,910,0.53025302530253,589,0.469387755102041,906,0.453038674033149,19,0.388888888888889
2,1,11,105,0,765,0.422774869109948,659,0.448328267477204,169,0.464285714285714,533,0.406015037593985,357,0.328651685393258,562,0.36541889483066,303,0.407284768211921,456,0.463736263736264,164,0.276073619631902
2,1,12,105,0,409,0.602941176470588,721,0.395833333333333,40,0.461538461538462,528,0.470588235294118,474,0.484143763213531,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,1,13,105,0,1124,0.452359750667854,1462,0.40041067761807,246,0.440816326530612,1077,0.41635687732342,722,0.396671289875173,864,0.442641946697567,931,0.317204301075269,733,0.345628415300546,145,0.368055555555556
2,1,14,105,0,571,0.363157894736842,990,0.614762386248736,91,0.533333333333333,800,0.556946182728411,281,0.714285714285714,888,0.640360766629087,693,0.734104046242775,485,0.721074380165289,334,0.612612612612613
