BatchNumber,TrayNumber,FlyID,LineNumber,Sex,n_Week1Day1,rBias_Week1Day1,n_Week1Day2,rBias_Week1Day2,n_Week1Day3,rBias_Week1Day3,n_Week2Day1,rBias_Week2Day1,n_Week2Day2,rBias_Week2Day2,n_Week3Day1,rBias_Week3Day1,n_Week3Day2,rBias_Week3Day2,n_Week3Day3,rBias_Week3Day3
2,3,1,907,0,155,0.5,132,0.519083969465649,204,0.556650246305419,410,0.616136919315403,208,0.603864734299517,162,0.403726708074534,142,0.453900709219858,208,0.473429951690821
2,3,2,907,0,0,NaN,286,0.635087719298246,381,0.621052631578947,421,0.583333333333333,165,0.542682926829268,-1,NaN,-1,NaN,-1,NaN
2,3,3,907,0,2,1,794,0.522068095838588,1023,0.507827788649706,494,0.551724137931034,527,0.460076045627376,-1,NaN,-1,NaN,-1,NaN
2,3,4,907,0,542,0.541589648798521,669,0.580838323353293,446,0.570786516853933,586,0.511111111111111,6,0.4,561,0.5,102,0.504950495049505,361,0.536111111111111
2,3,5,907,0,251,0.328,286,0.266666666666667,182,0.392265193370166,239,0.428571428571429,246,0.351020408163265,-1,NaN,-1,NaN,-1,NaN
2,3,6,907,0,166,0.2,202,0.477611940298507,175,0.517241379310345,366,0.452054794520548,16,0.466666666666667,-1,NaN,-1,NaN,-1,NaN
2,3,7,907,0,536,0.342056074766355,270,0.479553903345725,90,0.314606741573034,129,0.3671875,264,0.44106463878327,103,0.372549019607843,116,0.347826086956522,79,0.230769230769231
2,3,8,907,0,413,0.402912621359223,257,0.59765625,472,0.422505307855626,201,0.57,12,0.545454545454545,253,0.567460317460317,419,0.478468899521531,318,0.498422712933754
2,3,9,907,0,184,0.497267759562842,369,0.616847826086957,339,0.488165680473373,365,0.541208791208791,266,0.509433962264151,266,0.543396226415094,-1,NaN,-1,NaN
2,3,10,907,0,0,NaN,375,0.518716577540107,295,0.58843537414966,352,0.495726495726496,269,0.537313432835821,-1,NaN,-1,NaN,-1,NaN
2,3,11,907,0,118,0.41025641025641,113,0.455357142857143,119,0.440677966101695,412,0.467153284671533,414,0.527845036319613,-1,NaN,-1,NaN,-1,NaN
2,3,12,907,0,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,3,13,907,0,157,0.506410256410256,273,0.452205882352941,348,0.481268011527378,404,0.382133995037221,177,0.505681818181818,228,0.458149779735683,114,0.52212389380531,241,0.5875
2,3,14,907,0,404,0.384615384615385,313,0.445512820512821,237,0.440677966101695,298,0.457912457912458,243,0.475206611570248,-1,NaN,-1,NaN,-1,NaN
2,3,15,907,0,419,0.550239234449761,560,0.559928443649374,499,0.447791164658635,471,0.48936170212766,372,0.525606469002695,337,0.5625,313,0.400641025641026,300,0.387959866220736
2,3,16,907,0,76,0.413333333333333,168,0.598802395209581,194,0.481865284974093,273,0.286764705882353,376,0.357333333333333,236,0.536170212765957,364,0.542699724517906,125,0.483870967741935
2,3,17,907,0,65,0.546875,257,0.4921875,186,0.302702702702703,276,0.578181818181818,353,0.465909090909091,301,0.5,419,0.363636363636364,363,0.367403314917127
2,3,18,907,0,190,0.349206349206349,93,0.173913043478261,-1,NaN,0,NaN,-1,NaN,-1,NaN,2,0,-1,NaN
2,3,19,907,0,104,0.339805825242718,52,0.313725490196078,67,0.196969696969697,363,0.174033149171271,340,0.132743362831858,218,0.32258064516129,220,0.155251141552511,140,0.359712230215827
2,3,20,907,0,248,0.578947368421053,110,0.348623853211009,146,0.496551724137931,322,0.289719626168224,206,0.541463414634146,288,0.707317073170732,219,0.600917431192661,-1,NaN
