,Batch #,Fly ID,Date,Day,Drug Treatment,nTurns,rBias
0,1,1,10/31,1,aMW,903.0,0.5487804878
1,1,2,10/31,1,aMW,12.0,0.4136690647
2,1,3,10/31,1,aMW,553.0,0.4583333333
3,1,4,10/31,1,aMW,250.0,0.4474053296
4,1,5,10/31,1,aMW,506.0,0.3485148515
5,1,6,10/31,1,aMW,783.0,0.5997442454999999
6,1,7,10/31,1,aMW,791.0,0.5594936709
7,1,8,10/31,1,aMW,88.0,0.5862068965999999
8,1,9,10/31,1,aMW,276.0,0.3127272727
9,1,10,10/31,1,aMW,-1.0,
10,1,11,10/31,1,aMW,335.0,0.5269461078000001
11,1,12,10/31,1,aMW,110.0,0.4862385321
12,1,13,10/31,1,aMW,158.0,0.3312101911
13,1,14,10/31,1,aMW,630.0,0.2559618442
14,1,15,10/31,1,aMW,249.0,0.36017410229999997
15,1,16,10/31,1,aMW,482.0,0.5925155925
16,1,17,10/31,1,aMW,834.0,0.28331332530000003
17,1,18,10/31,1,aMW,72.0,0.42253521130000005
18,1,19,10/31,1,aMW,156.0,0.2451612903
19,1,20,10/31,1,aMW,667.0,0.4619225968
20,1,21,10/31,1,aMW,182.0,0.6629834254
21,1,22,10/31,1,aMW,765.0,0.5847701149
22,1,23,10/31,1,aMW,190.0,0.6966824645
23,1,24,10/31,1,aMW,359.0,0.5530726257
24,1,25,10/31,1,aMW,267.0,0.3571428571
25,1,26,10/31,1,aMW,667.0,0.460960961
26,1,27,10/31,1,aMW,258.0,0.45136186770000003
27,1,28,10/31,1,aMW,454.0,0.6269315673
28,1,29,10/31,1,aMW,9.0,0.5
29,1,30,10/31,1,aMW,449.0,0.5267857143
30,1,31,10/31,1,aMW,413.0,0.44417475729999994
31,1,32,10/31,1,aMW,574.0,0.6317626527
32,1,33,10/31,1,aMW,13.0,0.4243759178
33,1,34,10/31,1,aMW,469.0,0.47435897439999997
34,1,35,10/31,1,aMW,761.0,0.5881578947
35,1,36,10/31,1,aMW,186.0,0.427027027
36,1,37,10/31,1,aMW,852.0,0.6345475911
37,1,38,10/31,1,aMW,675.0,0.41543026710000003
38,1,39,10/31,1,aMW,1206.0,0.532780083
39,1,40,10/31,1,aMW,986.0,0.48324873100000004
40,1,41,10/31,1,aMW,669.0,0.6482035928000001
41,1,42,10/31,1,aMW,343.0,0.7255574614
42,1,43,10/31,1,aMW,599.0,0.5635451505
43,1,44,10/31,1,aMW,736.0,0.7904761905
44,1,45,10/31,1,aMW,700.0,0.56509299
45,1,46,10/31,1,aMW,958.0,0.30721003129999996
46,1,47,10/31,1,aMW,906.0,0.5657458564
47,1,48,10/31,1,aMW,1263.0,0.44690966719999997
48,1,49,10/31,1,aMW,1004.0,0.3320537428
49,1,50,10/31,1,aMW,1090.0,0.5041322314
50,1,51,10/31,1,aMW,707.0,0.3342776204
51,1,52,10/31,1,aMW,824.0,0.43863912520000004
52,1,53,10/31,1,aMW,892.0,0.42536475869999996
53,1,54,10/31,1,aMW,467.0,0.6502145923
54,1,55,10/31,1,aMW,645.0,0.4673913043
55,1,56,10/31,1,aMW,269.0,0.4626865672
56,1,57,10/31,1,aMW,528.0,0.4440227704
57,1,58,10/31,1,aMW,184.0,0.6229508197
58,1,59,10/31,1,aMW,588.0,0.5672913118
59,1,60,10/31,1,aMW,601.0,0.575
60,1,61,10/31,1,aMW,214.0,0.5727699531
61,1,62,10/31,1,aMW,770.0,0.5812743823
62,1,63,10/31,1,aMW,882.0,0.5164585697999999
63,1,64,10/31,1,aMW,855.0,0.6030444965
64,1,65,10/31,1,aMW,1098.0,0.44667274380000005
65,1,66,10/31,1,aMW,0.0,
66,1,67,10/31,1,aMW,533.0,0.4078947368
67,1,68,10/31,1,aMW,360.0,0.5051546392
68,1,69,10/31,1,aMW,633.0,0.22626582280000002
69,1,70,10/31,1,aMW,950.0,0.3027295285
70,1,71,10/31,1,aMW,144.0,0.3846153846
71,1,72,10/31,1,aMW,759.0,0.1965699208
72,1,73,10/31,1,aMW,373.0,0.5725806452000001
73,1,74,10/31,1,aMW,887.0,0.4458239278
74,1,75,10/31,1,aMW,871.0,0.5724137931000001
75,1,76,10/31,1,aMW,185.0,0.5434782609000001
76,1,77,10/31,1,aMW,599.0,0.5936454849
77,1,78,10/31,1,aMW,760.0,0.2648221344
78,1,79,10/31,1,aMW,382.0,0.5275590551
79,1,80,10/31,1,aMW,1043.0,0.39731285990000004
80,1,81,10/31,1,aMW,586.0,0.8273504274
81,1,82,10/31,1,aMW,851.0,0.3082352941
82,1,83,10/31,1,aMW,760.0,0.487483531
83,1,84,10/31,1,aMW,645.0,0.3121118012
84,1,85,10/31,1,aMW,426.0,0.4564705882
85,1,86,10/31,1,aMW,711.0,0.523943662
86,1,87,10/31,1,aMW,906.0,0.564640884
87,1,88,10/31,1,aMW,1090.0,0.5022956840999999
88,1,89,10/31,1,aMW,857.0,0.566588785
89,1,90,10/31,1,aMW,905.0,0.6316371681
90,1,91,10/31,1,aMW,146.0,0.48275862070000003
91,1,92,10/31,1,aMW,729.0,0.3269230769
92,1,93,10/31,1,aMW,978.0,0.45854657109999997
93,1,94,10/31,1,aMW,791.0,0.5
94,1,95,10/31,1,aMW,1003.0,0.42315369259999996
95,1,96,10/31,1,aMW,315.0,0.3566878981
96,1,1,11/1,2,aMW,853.0,0.38497652579999997
97,1,2,11/1,2,aMW,729.0,0.5206043956
98,1,3,11/1,2,aMW,532.0,0.4519774011
99,1,4,11/1,2,aMW,476.0,0.68
100,1,5,11/1,2,aMW,185.0,0.6793478261
101,1,6,11/1,2,aMW,1039.0,0.7052023121
102,1,7,11/1,2,aMW,525.0,0.6183206107
103,1,8,11/1,2,aMW,340.0,0.5368731563
104,1,9,11/1,2,aMW,548.0,0.4881170018
105,1,10,11/1,2,aMW,125.0,0.4435483871
106,1,11,11/1,2,aMW,756.0,0.5430463576
107,1,12,11/1,2,aMW,335.0,0.5179640718999999
108,1,13,11/1,2,aMW,-1.0,
109,1,14,11/1,2,aMW,213.0,0.3066037736
110,1,15,11/1,2,aMW,593.0,0.2094594595
111,1,16,11/1,2,aMW,1081.0,0.40092592590000004
112,1,17,11/1,2,aMW,666.0,0.5894736842
113,1,18,11/1,2,aMW,1060.0,0.3106704438
114,1,19,11/1,2,aMW,559.0,0.3082437276
115,1,20,11/1,2,aMW,54.0,0.6226415094
116,1,21,11/1,2,aMW,340.0,0.6902654867
117,1,22,11/1,2,aMW,722.0,0.5547850208
118,1,23,11/1,2,aMW,822.0,0.34835566380000005
119,1,24,11/1,2,aMW,176.0,0.6685714286
120,1,25,11/1,2,aMW,681.0,0.44705882350000004
121,1,26,11/1,2,aMW,1191.0,0.6521008403
122,1,27,11/1,2,aMW,1014.0,0.4412635735
123,1,28,11/1,2,aMW,614.0,0.5187601958
124,1,29,11/1,2,aMW,677.0,0.5961538462
125,1,30,11/1,2,aMW,967.0,0.4782608696
126,1,31,11/1,2,aMW,800.0,0.5569461827000001
127,1,32,11/1,2,aMW,748.0,0.5689424364
128,1,33,11/1,2,aMW,873.0,0.4621559633
129,1,34,11/1,2,aMW,318.0,0.23659305989999999
130,1,35,11/1,2,aMW,928.0,0.572815534
131,1,36,11/1,2,aMW,749.0,0.577540107
132,1,37,11/1,2,aMW,634.0,0.3775671406
133,1,38,11/1,2,aMW,948.0,0.6177402323
134,1,39,11/1,2,aMW,687.0,0.4256559767
135,1,40,11/1,2,aMW,1097.0,0.5437956204
136,1,41,11/1,2,aMW,1436.0,0.4682926829
137,1,42,11/1,2,aMW,597.0,0.5100671140999999
138,1,43,11/1,2,aMW,841.0,0.6285714286
139,1,44,11/1,2,aMW,951.0,0.46315789469999996
